1,0,20.421875
1,1,20.140625
1,2,20.09375
1,3,20.390625
1,4,20.21875
1,5,20.453125
1,6,20.421875
1,7,20.46875
1,8,20.46875
1,9,20.484375
1,10,20.640625
1,11,20.4375
1,12,20.59375
1,13,20.765625
1,14,20.5
1,15,20.53125
1,16,20.734375
1,17,20.515625
1,18,20.484375
1,19,20.609375
2,0,22.578125
2,1,22.03125
2,2,21.390625
2,3,22.296875
2,4,22.640625
2,5,21.90625
2,6,21.75
2,7,22.609375
2,8,22.109375
2,9,21.859375
2,10,22.484375
2,11,22.796875
2,12,21.9375
2,13,21.9375
2,14,22.53125
2,15,22.84375
2,16,22.40625
2,17,21.953125
2,18,21.984375
2,19,23.0625
3,0,23.65625
3,1,23.125
3,2,23.15625
3,3,23.03125
3,4,23.203125
3,5,23.59375
3,6,23.5625
3,7,23.515625
3,8,23.453125
3,9,23.25
3,10,24.34375
3,11,23.53125
3,12,24.234375
3,13,23.078125
3,14,22.515625
3,15,23.625
3,16,23.125
3,17,22.703125
3,18,22.953125
3,19,23.6875
4,0,23.15625
4,1,23.078125
4,2,23.75
4,3,23.34375
4,4,23.75
4,5,23.375
4,6,23.375
4,7,23.71875
4,8,23.453125
4,9,23.25
4,10,23.1875
4,11,23.8125
4,12,23.234375
4,13,23.203125
4,14,23.875
4,15,23.0625
4,16,23.28125
4,17,23.609375
4,18,23.390625
4,19,23.140625
5,0,23.65625
5,1,23.015625
5,2,23.046875
5,3,23.03125
5,4,23.328125
5,5,23.1875
5,6,23.4375
5,7,23.203125
5,8,23.046875
5,9,23
5,10,23.6875
5,11,23.390625
5,12,23.59375
5,13,23.28125
5,14,23.046875
5,15,23.359375
5,16,23.34375
5,17,23.4375
5,18,23.59375
5,19,22.65625
6,0,24.625
6,1,23.9375
6,2,23.0625
6,3,23.453125
6,4,23.21875
6,5,23.015625
6,6,22.890625
6,7,23.3125
6,8,23.015625
6,9,23.234375
6,10,22.796875
6,11,23
6,12,23.15625
6,13,23.390625
6,14,23.609375
6,15,23.703125
6,16,23.515625
6,17,23.578125
6,18,23.265625
6,19,22.890625
7,0,23.28125
7,1,23.03125
7,2,22.859375
7,3,23.046875
7,4,23.34375
7,5,23.078125
7,6,23.0625
7,7,23.484375
7,8,22.84375
7,9,22.8125
7,10,23.203125
7,11,22.984375
7,12,24.015625
7,13,23.0625
7,14,23.296875
7,15,22.90625
7,16,23.46875
7,17,24.03125
7,18,23.640625
7,19,23.640625
8,0,23.203125
8,1,23.21875
8,2,22.984375
8,3,23.09375
8,4,22.6875
8,5,24.109375
8,6,23.109375
8,7,23.40625
8,8,24.375
8,9,24.171875
8,10,23.109375
8,11,23.203125
8,12,22.953125
8,13,23.34375
8,14,23.453125
8,15,23.359375
8,16,23.109375
8,17,23.265625
8,18,23.046875
8,19,22.6875
